X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
118000	38000	0.1	-0.000240183	1.83E-05	0.0735237	-0.0148424	-0.0542467	0.0110895	0.000198369	-0.000839159	52.5973	1.055638624	49.8251
138000	38000	0.1	-2.02E-05	-0.000235949	0.0735297	-0.0325133	-0.0576017	0.0293834	0.000206695	2.55E-05	65.8435	3.909180505	16.8433
-142000	58000	0.1	-2.25E-05	8.61E-06	0.0203636	-0.0302737	-0.00984063	0.0166294	5.44E-06	-3.08E-06	8.92895	0.549277796	16.2558
-122000	58000	0.1	-2.32E-06	-2.50E-06	0.0166558	-0.037417	-0.0173013	0.0368117	8.02E-06	-5.69E-06	21.0989	0.994696248	21.2114
-102000	58000	0.1	-1.47E-06	-2.71E-07	0.0166535	-0.0374142	-0.0173091	0.0367985	1.82E-06	8.31E-07	21.0926	0.994661838	21.2058
-82000	58000	0.1	6.72E-05	-0.000114033	0.0166534	-0.0374165	-0.0173122	0.0368168	-6.12E-05	0.000107909	21.1027	0.995321174	21.2019
-62000	58000	0.1	2.77E-06	3.05E-07	0.0166816	-0.0374098	-0.0173256	0.0367978	-7.43E-06	1.02E-05	21.0998	0.995508375	21.195
-42000	58000	0.1	1.15E-05	-1.40E-05	0.0204853	-0.0302844	-0.0181115	0.0299699	5.84E-06	5.83E-06	16.2154	0.997158951	16.2616
-22000	58000	0.1	3.89E-06	-5.92E-06	0.0133488	-0.0121794	-0.0244401	0.0218424	1.02E-05	7.96E-06	7.50162	0.553927606	13.5426
-2000	58000	0.1	2.29E-06	-7.39E-06	0.0244458	-0.021836	-0.0244447	0.0218554	-3.51E-07	5.89E-06	13.6125	1.006097561	13.53
18000	58000	0.1	1.20E-06	-8.53E-06	0.0244719	-0.0218675	-0.0244392	0.0218455	-4.55E-06	2.76E-06	13.6249	1.006649477	13.5349
38000	58000	0.1	7.01E-06	-1.69E-05	0.0296469	-0.0182928	-0.0294865	0.0184141	-3.72E-05	2.01E-05	15.3381	1.014169719	15.1238
58000	58000	0.1	-0.000107119	-0.000869642	0.0385099	-0.0140355	-0.0459269	0.015526	4.03E-05	0.000527034	25.1722	1.032354111	24.3833
78000	58000	0.1	0.000168471	-4.07E-05	0.0381103	-0.0140042	-0.0456008	0.0151694	-1.10E-05	-2.54E-05	24.7127	1.025470042	24.0989
98000	58000	0.1	-5.21E-05	-2.30E-05	0.0380064	-0.0139409	-0.045434	0.0151084	8.50E-06	3.71E-05	24.549	1.021921207	24.0224
118000	58000	0.1	-0.000149321	0.000265016	0.037921	-0.0138271	-0.0454731	0.0150899	6.44E-05	0.000115027	24.4923	1.021794	23.9699
138000	58000	0.1	-9.73E-05	4.19E-05	0.03761	-0.0159692	-0.0292822	0.0149086	8.33E-05	-8.69E-05	17.0042	1.011083495	16.8178
-142000	78000	0.1	-4.76E-05	3.54E-05	0.0209912	-0.0255506	-0.0127931	0.0144331	4.43E-05	-7.75E-05	8.07732	0.538584945	14.9973
-122000	78000	0.1	-2.46E-07	-1.05E-06	0.0210013	-0.0255607	-0.0243604	0.0259344	3.64E-06	1.87E-06	14.908	0.993873292	14.9999
-102000	78000	0.1	6.63E-07	5.84E-07	0.0209973	-0.0255566	-0.0243632	0.0259441	-1.13E-06	1.37E-07	14.9092	0.99432451	14.9943
-82000	78000	0.1	-2.35E-06	-2.08E-06	0.0210004	-0.0255547	-0.0243161	0.0259153	8.11E-07	-1.80E-07	14.8871	0.992850617	14.9943
-62000	78000	0.1	1.17E-06	9.12E-07	0.0210068	-0.0255643	-0.0243619	0.0259224	-4.34E-06	-1.82E-06	14.9076	0.994052064	14.9968
-42000	78000	0.1	8.54E-06	-1.40E-07	0.0146675	-0.0180877	-0.0243902	0.0259301	-3.11E-07	3.37E-05	10.4993	0.700144706	14.9959
-22000	78000	0.1	4.29E-05	-3.13E-05	0.0242944	-0.0217813	-0.0132789	0.012141	1.20E-05	2.50E-06	7.43541	0.551576004	13.4803
-2000	78000	0.1	-2.16E-05	-7.46E-06	0.0243896	-0.0218227	-0.0243531	0.0218372	2.40E-05	6.21E-06	13.5582	1.003203871	13.5149
18000	78000	0.1	-8.18E-06	-1.17E-05	0.0244474	-0.0218651	-0.0244019	0.0218456	1.06E-06	1.43E-05	13.6051	1.005246008	13.5341
38000	78000	0.1	-4.91E-06	-6.11E-05	0.0244686	-0.0187161	-0.0295426	0.0196114	-2.59E-05	1.55E-05	13.8349	1.010732028	13.688
58000	78000	0.1	9.74E-05	2.74E-05	0.0243921	-0.0186746	-0.0295829	0.0195542	-4.28E-05	-7.04E-06	13.7971	1.00938634	13.6688
78000	78000	0.1	4.13E-06	1.27E-05	0.0143154	-0.0111853	-0.0293427	0.0194231	-1.36E-07	-2.35E-06	8.09653	0.596732778	13.5681
98000	78000	0.1	-3.86E-06	-4.49E-06	0.0241731	-0.018579	-0.029272	0.0194391	-6.83E-07	5.97E-06	13.5683	0.999587444	13.5739
118000	78000	0.1	-1.63E-05	-1.31E-05	0.0316445	-0.0246869	-0.038375	0.0263665	-5.84E-06	1.34E-05	23.6671	1.744100871	13.5698
138000	78000	0.1	3.16E-06	4.39E-05	0.0241747	-0.0185634	-0.0292269	0.0194229	-2.70E-05	1.55E-05	13.5467	0.999151805	13.5582
-142000	98000	0.1	-1.17E-06	-3.86E-06	0.0241985	-0.0217781	-0.0241645	0.0217715	3.78E-06	3.35E-06	13.4109	0.995250429	13.4749
-122000	98000	0.1	3.43E-06	6.09E-06	0.0241934	-0.0217648	-0.0241555	0.0217625	-1.21E-06	-1.60E-06	13.4005	0.994589339	13.4734
-102000	98000	0.1	6.30E-08	2.25E-08	0.024193	-0.0217722	-0.0241866	0.0217845	-3.94E-07	9.95E-08	13.418	0.995851238	13.4739
