X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
-6000	1500	0.1	-1.34E-05	4.16E-06	0.0189843	-0.0200596	-0.0190201	0.0199265	1.27E-05	7.22E-06	9.63574	0.999138329	9.64405
-5000	1500	0.1	3.60E-05	-2.14E-05	0.0189939	-0.0200446	-0.0191359	0.0198839	-2.25E-06	-2.62E-07	9.65152	0.99962507	9.65514
-4000	1500	0.1	5.27E-05	-2.86E-05	0.0191698	-0.0200178	-0.0195503	0.0198879	-3.09E-05	-1.56E-06	9.78954	0.999739586	9.79209
-3000	1500	0.1	-5.93E-05	6.28E-05	0.0251901	-0.0247014	-0.0252762	0.0246585	8.51E-05	-5.45E-05	15.7783	1.556045365	10.14
-2000	1500	0.1	-5.03E-05	2.30E-05	0.0254499	-0.0246553	-0.0200187	0.0199836	9.24E-06	1.89E-06	12.6941	1.247552874	10.1752
-1000	1500	0.1	7.45E-07	1.66E-05	0.0117268	-0.0121143	-0.020137	0.0201317	-0.000200872	0.000102652	6.08043	0.598326183	10.1624
0	1500	0.1	-0.000139656	4.05E-05	0.0284452	-0.0302672	-0.028632	0.0302003	4.84E-05	-4.69E-05	21.8921	2.154310175	10.162
1000	1500	0.1	8.10E-06	3.38E-07	0.0198125	-0.0199083	-0.0255998	0.0246253	3.18E-05	-1.24E-05	12.6358	1.242580391	10.169
2000	1500	0.1	-1.81E-05	1.43E-05	0.0201296	-0.0201354	-0.0131731	0.0136521	2.29E-05	-6.25E-06	6.84099	0.672234069	10.1765
3000	1500	0.1	-1.81E-05	1.14E-05	0.0195119	-0.0200933	-0.0197469	0.0200231	1.66E-05	2.77E-08	9.97572	0.99782445	9.99747
4000	1500	0.1	4.24E-06	5.51E-06	0.0188858	-0.0199843	-0.0193519	0.0198336	9.98E-07	-2.06E-06	9.65002	0.995899791	9.68975
5000	1500	0.1	-4.01E-05	-2.71E-06	0.0318048	-0.0350919	-0.0320065	0.0347563	-1.72E-06	-1.42E-05	28.3407	2.937691181	9.64727
6000	1500	0.1	3.25E-05	1.71E-05	0.0188126	-0.0200016	-0.0190306	0.0199532	-3.40E-05	-1.70E-05	9.58915	0.994254792	9.64456
7000	1500	0.1	-5.92E-07	3.08E-06	0.0189077	-0.0200429	-0.0191408	0.0200035	-7.51E-07	-4.41E-06	9.66168	1.001862352	9.64372
8000	1500	0.1	-2.73E-05	-8.61E-06	0.0189654	-0.0200375	-0.0189996	0.0200078	4.06E-05	1.70E-05	9.64128	0.999442294	9.64666
9000	1500	0.1	1.06E-05	-4.68E-06	0.0189924	-0.0200421	-0.0189618	0.0200224	-1.39E-05	4.13E-06	9.64352	0.999908755	9.6444
-9000	3000	0.1	-1.42E-05	-1.45E-05	0.0165361	-0.0102061	-0.0100879	0.0072448	0.000174077	2.58E-06	3.05667	0.316980346	9.64309
-8000	3000	0.1	-0.000175121	-9.00E-05	0.0165932	-0.0102285	-0.00336712	0.00369466	3.35E-06	1.26E-06	1.23409	0.127954719	9.64474
-7000	3000	0.1	-2.63E-05	-5.12E-05	0.0289099	-0.0270916	-0.0189156	0.0199413	1.99E-06	8.79E-06	13.792	1.429436102	9.64856
-6000	3000	0.1	8.28E-07	-2.45E-05	0.0189967	-0.0200324	-0.0190207	0.0199448	-2.07E-06	8.92E-06	9.6366	0.999012039	9.64613
-5000	3000	0.1	-5.47E-06	-3.89E-05	0.018807	-0.0199955	-0.0191614	0.019882	6.67E-07	7.07E-06	9.59985	0.993910135	9.65867
-4000	3000	0.1	-5.99E-05	-6.32E-05	0.0269154	-0.0301524	-0.0360371	0.0387701	3.02E-06	1.97E-05	27.0958	2.768063649	9.78872
-3000	3000	0.1	-1.06E-05	-6.29E-05	0.0196625	-0.0216319	-0.0369786	0.0391808	4.74E-07	1.57E-06	19.9466	1.965937651	10.1461
-2000	3000	0.1	-2.16E-05	-3.28E-05	0.0198653	-0.0215479	-0.0371431	0.0391381	2.08E-05	8.81E-06	20.0283	1.967319876	10.1805
-1000	3000	0.1	-6.48E-05	4.55E-05	0.028343	-0.0301839	-0.0369779	0.0390492	5.13E-05	-9.57E-07	28.202	2.772294747	10.1728
0	3000	0.1	1.42E-05	3.80E-07	0.0199896	-0.0199755	-0.0198702	0.0199149	-5.84E-06	-1.92E-06	10.0689	0.989961656	10.171
1000	3000	0.1	7.16E-07	1.18E-06	0.0131686	-0.013023	-0.0200294	0.0184292	1.43E-05	-2.97E-06	6.38438	0.627550007	10.1735
2000	3000	0.1	-3.73E-05	-1.88E-06	0.033884	-0.035351	-0.0268643	0.0282537	-9.72E-06	1.97E-06	24.1788	2.375197697	10.1797
3000	3000	0.1	3.16E-05	3.87E-05	0.0193472	-0.0200576	-0.0198437	0.0200465	-4.06E-05	-3.44E-06	9.95572	0.995432639	10.0014
